"cuadrID","cUTM10","Gpy2002","Area100","lati","long","Gpy_P","Gpy_F","Gpy2015","Gpy2002A100","Gpy2015A100"
3675,"30TVM90",1,1,41.5889816,-3.0568182,0.080780716274714,0.439354842860251,1,1,1
3676,"30TVM91",0,1,41.6779671,-3.0568182,0.115223554630655,0.537316683991567,0,0,0
3677,"30TVM92",0,1,41.7711868,-3.0568182,0.201447154304075,0.692265374366817,0,0,0
3678,"30TVM93",0,1,41.8644066,-3.0568182,0.319371591619191,0.807110704497762,0,0,0
3679,"30TVM94",1,1,41.9576263,-3.0568182,0.43031319273294,0.870730391219264,1,1,1
3680,"30TVM95",1,1,42.0458336,-3.0568419,0.689776049374274,0.951986934860663,1,1,1
3681,"30TVM96",1,1,42.1332779,-3.0573308,0.679387478609561,0.949739294723254,1,1,1
3682,"30TVM97",1,1,42.2209702,-3.0574713,0.784071791128093,0.970042501504131,1,1,1
3683,"30TVM98",1,1,42.3109245,-3.0574713,0.580200379906603,0.924951147180266,1,1,1
3684,"30TVM99",0,1,42.3991585,-3.0574713,0.280013804056894,0.77619219414694,0,0,0
3685,"30TVN00",0,1,42.487751,-4.159091,0.0467317602749976,0.304180993251391,0,0,0
3686,"30TVN01",1,1,42.5809364,-4.1591005,0.0817717324203662,0.442626622241903,1,1,1
3687,"30TVN02",0,1,42.6707649,-4.1601262,0.163093378958719,0.634742318853678,0,0,0
3688,"30TVN03",0,1,42.7584763,-4.1609197,0.197742415878149,0.687303123287861,0,0,0
3689,"30TVN04",0,1,42.8469315,-4.1621609,0.314940551571708,0.803905320610974,0,0,0
3690,"30TVN05",1,1,42.9391518,-4.169332,0.621980726350887,0.936193645085905,1,1,1
3691,"30TVN06",1,1,43.0248184,-4.1714044,0.792075061391709,0.971404251262563,1,1,1
3692,"30TVN07",1,1,43.1119995,-4.1724138,0.764195842941554,0.966554747809813,1,1,1
3693,"30TVN08",1,1,43.1959991,-4.1724138,0.525900941396909,0.908187484244367,1,1,1
3694,"30TVN09",0,1,43.2790298,-4.1724138,0.248234552361238,0.746485529875944,0,0,0
3695,"30TVN10",1,1,42.4910202,-4.034091,0.0615094727147302,0.368868053559789,1,1,1
3696,"30TVN11",0,1,42.5816689,-4.0342593,0.105824197344605,0.513467347906094,0,0,0
3697,"30TVN12",1,1,42.6749153,-4.0345182,0.174420864124879,0.653258108199193,1,1,1
3698,"30TVN13",0,1,42.7600784,-4.0360575,0.219224917800555,0.714597040421621,0,0,0
3699,"30TVN14",0,1,42.8474579,-4.0441418,0.322651495239541,0.809442613071412,0,0,0
3700,"30TVN15",0,1,42.9405136,-4.0456209,0.60458735384382,0.931669499112416,0,0,0
3701,"30TVN16",0,1,43.0307579,-4.0459771,0.720263012822799,0.958264519443066,0,0,0
3702,"30TVN17",0,1,43.1129036,-4.0459771,0.619605818895751,0.935588351598593,0,0,0
3703,"30TVN18",0,1,43.1959991,-4.0459771,0.406627797385757,0.859371787748626,0,0,0
3704,"30TVN19",0,1,43.2799988,-4.0461097,0.213170128881992,0.707253921670962,0,0,0
3705,"30TVN20",0,1,42.4915237,-3.9147727,0.0940361638530105,0.480681038962703,0,0,0
3706,"30TVN21",0,1,42.5842972,-3.9147727,0.123654971688819,0.557183938998343,0,0,0
3707,"30TVN22",1,1,42.6754913,-3.9161501,0.151626774661738,0.614461930660749,1,1,1
3708,"30TVN23",1,1,42.7647552,-3.92419,0.23472539537534,0.732273314854503,1,1,1
3709,"30TVN24",1,1,42.849247,-3.9252872,0.314602860488322,0.803658395099689,1,1,1
3710,"30TVN25",0,1,42.9406776,-3.9252872,0.573327704008433,0.922973202937254,0,0,0
3711,"30TVN26",1,1,43.0316963,-3.9252872,0.729141465643171,0.960008558169932,1,1,1
3712,"30TVN27",0,1,43.1181183,-3.9252872,0.681333347103117,0.950164697999675,0,0,0
3713,"30TVN28",0,1,43.1966591,-3.9252872,0.396687371951009,0.854298244475913,0,0,0
3714,"30TVN29",0,1,43.2799988,-3.9255655,0.194987243898723,0.683538554475644,0,0,0
