id,utm10,lati,longi,training,predicted,testing
27,29SMD73,39.1721649,-9.2918396,0,3.26E-15,0
28,29SMD74,39.2641029,-9.2882986,0,2.05E-15,0
29,29SMD75,39.3487778,-9.2923145,0,7.61E-16,0
30,29SMD76,39.4119034,-9.2591105,0,4.00E-16,0
31,29SMD80,38.8999405,-9.1773481,0,6.30E-13,0
32,29SMD81,38.9898415,-9.176115,0,2.92E-13,0
33,29SMD82,39.0822029,-9.1750059,0,1.65E-13,0
34,29SMD83,39.1710358,-9.1766682,0,5.51E-14,0
35,29SMD84,39.2614517,-9.179966,0,1.54E-14,0
36,29SMD85,39.3536949,-9.1792488,0,3.47E-15,0
37,29SMD86,39.442627,-9.1686544,0,6.42E-16,0
38,29SMD87,39.5046577,-9.1507559,0,2.96E-16,0
39,29SMD90,38.9040413,-9.0673561,0,3.30E-12,0
40,29SMD91,38.9911041,-9.0598574,0,5.29E-12,0
41,29SMD92,39.0803719,-9.0613909,0,4.21E-12,0
42,29SMD93,39.1701965,-9.0620909,0,2.83E-12,0
43,29SMD94,39.2609634,-9.0603542,0,3.57E-13,0
44,29SMD95,39.3530655,-9.061861,0,4.88E-14,0
45,29SMD96,39.4429703,-9.0637045,0,8.45E-15,0
46,29SMD97,39.5302048,-9.0605745,0,2.07E-15,0
47,29SMD98,39.6232109,-9.0455923,0,1.07E-15,0
48,29SMD99,39.7115593,-9.0342255,0,4.95E-16,0
49,29SME90,39.78228,-9.0187836,0,2.70E-16,0
50,29SNA09,37.0214691,-8.93573,0,2.02E-11,0
51,29SNA19,37.0407066,-8.8717394,0,2.59E-11,0
52,29SNA89,37.0092354,-8.0219784,0,3.36E-08,0
53,29SNA99,36.9924583,-7.9353786,0,6.24E-08,0
54,29SNB00,37.0842285,-8.9184875,0,2.52E-11,0
55,29SNB01,37.1693001,-8.9017649,0,2.77E-11,0
57,29SNB09,37.9464302,-8.89011,0,2.09E-11,0
58,29SNB10,37.0915489,-8.8311281,0,5.77E-11,0
59,29SNB11,37.1797333,-8.8269873,0,2.34E-10,0
60,29SNB12,37.2730103,-8.8252888,0,6.04E-10,0
61,29SNB13,37.3548431,-8.8079081,0,1.02E-09,0
62,29SNB14,37.4483757,-8.790864,0,1.55E-09,0
63,29SNB15,37.5497437,-8.7913895,0,7.85E-10,0
64,29SNB16,37.632679,-8.7960224,0,3.90E-10,0
65,29SNB17,37.7263489,-8.7936125,0,2.48E-10,0
65,29SNB17,37.7263489,-8.7936125,0,2.48E-10,0
66,29SNB18,37.8090935,-8.7918901,0,2.04E-10,0
67,29SNB19,37.9144058,-8.8054857,0,9.59E-11,0
68,29SNB20,37.0990372,-8.7221127,0,1.11E-09,0
69,29SNB21,37.1804085,-8.7175131,0,6.56E-09,0
70,29SNB22,37.2691193,-8.7178545,0,2.49E-08,0
71,29SNB23,37.3614349,-8.7196379,0,2.94E-08,0
72,29SNB24,37.4528122,-8.7184944,0,1.38E-08,0
73,29SNB25,37.5435104,-8.717968,0,5.40E-09,0
74,29SNB26,37.6311111,-8.7189417,0,2.14E-09,0
75,29SNB27,37.7241402,-8.7166328,0,2.04E-09,0
76,29SNB28,37.8141441,-8.7181826,0,9.73E-10,0
77,29SNB29,37.9028587,-8.718545,0,7.37E-10,0
78,29SNB30,37.1189346,-8.6097422,0,7.54E-09,0
79,29SNB31,37.1775589,-8.6083279,0,2.15E-08,0
80,29SNB32,37.2681885,-8.6082029,0,3.53E-07,0
81,29SNB33,37.3595886,-8.6062346,0,1.67E-06,0
82,29SNB34,37.451683,-8.6074905,0,4.60E-07,0
83,29SNB35,37.541172,-8.6097698,0,1.42E-07,0
84,29SNB36,37.6314621,-8.6065111,0,7.46E-08,0
85,29SNB37,37.7219963,-8.6053667,0,2.25E-08,0
86,29SNB38,37.8128891,-8.6071768,0,7.67E-09,0
87,29SNB39,37.9016876,-8.6078176,0,4.27E-09,0
88,29SNB40,37.1066437,-8.4885607,0,1.43E-08,0
89,29SNB41,37.1759682,-8.4990292,0,5.75E-08,0
90,29SNB42,37.2679749,-8.4969015,0,1.65E-06,0
91,29SNB43,37.358963,-8.4959478,0,6.14E-06,0
92,29SNB44,37.4488869,-8.4961834,0,1.66E-06,0
93,29SNB45,37.5400963,-8.4963684,0,1.07E-06,0
94,29SNB46,37.6325073,-8.4959316,0,3.81E-07,0
95,29SNB47,37.7214088,-8.4946384,0,7.59E-08,0
96,29SNB48,37.8101196,-8.4944897,0,1.44E-08,0
97,29SNB49,37.9022331,-8.4941177,0,5.18E-09,0
98,29SNB50,37.1019287,-8.3886471,0,1.78E-08,0
99,29SNB51,37.174366,-8.3845634,0,1.71E-07,0
100,29SNB52,37.2665596,-8.385726,0,2.27E-06,0
101,29SNB53,37.3574181,-8.3867636,0,5.60E-06,0
102,29SNB54,37.446991,-8.3842535,0,4.51E-06,0
103,29SNB55,37.5392723,-8.383378,0,3.19E-06,0
104,29SNB56,37.6299782,-8.3832579,0,7.82E-07,0
105,29SNB57,37.7203712,-8.3848295,0,7.97E-08,0
106,29SNB58,37.8104973,-8.382287,0,1.35E-08,0
107,29SNB59,37.9019775,-8.3793287,0,5.81E-09,0
108,29SNB60,37.094471,-8.2779703,0,1.46E-08,0
109,29SNB61,37.1727333,-8.2740059,0,1.72E-07,0
110,29SNB62,37.2638779,-8.2734394,0,2.27E-06,0
111,29SNB63,37.3544846,-8.2745104,0,1.16E-05,0
112,29SNB64,37.4476318,-8.2739477,0,1.10E-05,0
113,29SNB65,37.5376511,-8.2704668,0,3.02E-06,0
114,29SNB66,37.6277046,-8.2713079,0,3.09E-07,0
115,29SNB67,37.7197227,-8.270566,0,4.85E-08,0
116,29SNB68,37.8123207,-8.2695007,0,1.45E-08,0
117,29SNB69,37.8994217,-8.2701063,0,7.91E-09,0
118,29SNB70,37.0915947,-8.1612968,0,1.64E-08,0
119,29SNB71,37.1718979,-8.1633711,0,2.30E-07,0
120,29SNB72,37.2606773,-8.1629524,0,2.90E-06,0
121,29SNB73,37.3537941,-8.1607265,0,1.48E-05,0
122,29SNB74,37.4451523,-8.1595955,0,1.19E-05,0
123,29SNB75,37.5359993,-8.1617756,0,2.20E-06,0
124,29SNB76,37.6266479,-8.1577454,0,3.61E-07,0
125,29SNB77,37.7180939,-8.1559229,0,6.13E-08,0
126,29SNB78,37.8092079,-8.1581726,0,1.64E-08,0
127,29SNB79,37.899456,-8.1567097,0,1.41E-08,0
128,29SNB80,37.0796547,-8.0499916,0,4.32E-08,0
129,29SNB81,37.1682663,-8.0533667,0,6.03E-07,0
130,29SNB82,37.2617149,-8.0508127,0,4.68E-06,0
131,29SNB83,37.3514061,-8.0469971,0,1.27E-05,0
132,29SNB84,37.4422264,-8.0483952,0,4.70E-06,0
133,29SNB85,37.5340652,-8.0467854,0,9.85E-07,0
134,29SNB86,37.6266937,-8.0458393,0,3.84E-07,0
135,29SNB87,37.717392,-8.0450745,0,1.12E-07,0
136,29SNB88,37.8059044,-8.0428009,0,2.41E-08,0
137,29SNB89,37.8994942,-8.0430803,0,1.17E-08,0
138,29SNB90,37.074604,-7.9406166,0,1.46E-07,0
139,29SNB91,37.1680145,-7.9359832,0,1.95E-06,0
140,29SNB92,37.2590752,-7.9359632,0,1.61E-05,0
141,29SNB93,37.3503075,-7.9368696,0,1.30E-05,0
142,29SNB94,37.4402199,-7.9326348,0,2.39E-06,0
143,29SNB95,37.532383,-7.9317536,0,5.99E-07,0
144,29SNB96,37.6244774,-7.9316587,0,2.59E-07,0
145,29SNB97,37.7140808,-7.9316301,0,1.14E-07,0
146,29SNB98,37.8065033,-7.9295697,0,3.79E-08,0
147,29SNB99,37.89674,-7.924799,0,1.80E-08,0
148,29SNC00,37.9553566,-8.89011,0,1.56E-11,0
149,29SNC05,38.4819298,-8.956172,0,1.15E-10,0
149,29SNC05,38.4819298,-8.956172,0,1.15E-10,0
150,29SNC06,38.5393753,-8.9462414,0,1.53E-10,0
150,29SNC06,38.5393753,-8.9462414,0,1.53E-10,0
151,29SNC07,38.6286736,-8.9427423,0,1.57E-10,0
152,29SNC08,38.7156906,-8.9433031,0,1.73E-10,0
153,29SNC09,38.8143005,-8.92313,0,1.29E-10,0
154,29SNC10,37.990078,-8.8199453,0,6.61E-11,0
155,29SNC11,38.0767632,-8.7985802,0,9.65E-11,0
156,29SNC12,38.1668396,-8.7831097,0,2.16E-10,0
157,29SNC13,38.2920341,-8.7833328,0,1.46E-10,0
158,29SNC14,38.3641167,-8.7923279,0,7.77E-11,0
159,29SNC15,38.4451332,-8.8275928,0,6.77E-11,0
159,29SNC15,38.4451332,-8.8275928,0,6.77E-11,0
160,29SNC16,38.543148,-8.8256826,0,2.87E-10,0
160,29SNC16,38.543148,-8.8256826,0,2.87E-10,0
161,29SNC17,38.6272888,-8.8299837,0,5.22E-10,0
162,29SNC18,38.7169342,-8.8317709,0,7.93E-10,0
163,29SNC19,38.8099136,-8.8318157,0,5.50E-10,0
164,29SNC20,37.9917679,-8.7180738,0,7.11E-10,0
165,29SNC21,38.0838394,-8.7179279,0,7.19E-10,0
166,29SNC22,38.17519,-8.7190037,0,7.38E-10,0
167,29SNC23,38.2625427,-8.7192068,0,5.28E-10,0
168,29SNC24,38.354084,-8.7184134,0,4.00E-10,0
169,29SNC25,38.4408989,-8.70998,0,4.69E-10,0
169,29SNC25,38.4408989,-8.70998,0,4.69E-10,0
169,29SNC25,38.4408989,-8.70998,0,4.69E-10,0
170,29SNC26,38.5408936,-8.7141171,0,1.27E-09,0
170,29SNC26,38.5408936,-8.7141171,0,1.27E-09,0
171,29SNC27,38.6258087,-8.7191133,0,1.80E-09,0
172,29SNC28,38.7170448,-8.7171907,0,2.06E-09,0
173,29SNC29,38.8077278,-8.7176008,0,1.37E-09,0
174,29SNC30,37.9934883,-8.6062355,0,3.69E-09,0
175,29SNC31,38.082077,-8.6040154,0,4.56E-09,0
176,29SNC32,38.1723747,-8.6068182,0,6.88E-09,0
177,29SNC33,38.2637215,-8.6080303,0,4.21E-09,0
178,29SNC34,38.3536835,-8.604001,0,3.14E-09,0
179,29SNC35,38.4464798,-8.6041603,0,2.35E-09,0
179,29SNC35,38.4464798,-8.6041603,0,2.35E-09,0
180,29SNC36,38.5331612,-8.6054611,0,2.34E-09,0
181,29SNC37,38.6260223,-8.6057358,0,2.64E-09,0
182,29SNC38,38.7173119,-8.6046247,0,3.83E-09,0
183,29SNC39,38.8061714,-8.6036863,0,3.46E-09,0
184,29SNC40,37.9927483,-8.4940968,0,3.91E-09,0
185,29SNC41,38.0814552,-8.4946051,0,5.14E-09,0
186,29SNC42,38.1698685,-8.4929619,0,7.11E-09,0
187,29SNC43,38.2628822,-8.4913378,0,6.38E-09,0
188,29SNC44,38.3531685,-8.4935722,0,4.45E-09,0
189,29SNC45,38.4417343,-8.4927778,0,2.72E-09,0
190,29SNC46,38.5326004,-8.4909182,0,2.36E-09,0
191,29SNC47,38.6245995,-8.4902372,0,2.83E-09,0
192,29SNC48,38.7148781,-8.4919767,0,4.36E-09,0
193,29SNC49,38.8058014,-8.4922514,0,4.01E-09,0
194,29SNC50,37.9906273,-8.3827915,0,3.91E-09,0
195,29SNC51,38.0806236,-8.3818388,0,5.12E-09,0
196,29SNC52,38.1716423,-8.3792896,0,7.30E-09,0
197,29SNC53,38.2597275,-8.3783875,0,6.46E-09,0
198,29SNC54,38.3507805,-8.3791866,0,3.94E-09,0
199,29SNC55,38.4418221,-8.3801241,0,3.28E-09,0
200,29SNC56,38.5332108,-8.3769865,0,2.38E-09,0
201,29SNC57,38.6213036,-8.3766918,0,2.61E-09,0
202,29SNC58,38.7129402,-8.3780231,0,3.77E-09,0
203,29SNC59,38.8049622,-8.3758936,0,2.83E-09,0
204,29SNC60,37.9895821,-8.2674351,0,3.73E-09,0
205,29SNC61,38.0802498,-8.2671175,0,5.28E-09,0
206,29SNC62,38.1709633,-8.2678671,0,1.42E-08,0
207,29SNC63,38.2592621,-8.2659998,0,1.02E-08,0
208,29SNC64,38.3484955,-8.2650194,0,5.83E-09,0
209,29SNC65,38.4415359,-8.2633266,0,4.23E-09,0
210,29SNC66,38.5305061,-8.2649765,0,2.78E-09,0
211,29SNC67,38.6211662,-8.2648754,0,2.71E-09,0
212,29SNC68,38.7108574,-8.2601814,0,3.06E-09,0
213,29SNC69,38.803894,-8.2609787,0,2.79E-09,0
214,29SNC70,37.9896126,-8.1554508,0,7.13E-09,0
215,29SNC71,38.0799141,-8.1518278,0,7.78E-09,0
216,29SNC72,38.1680946,-8.1532106,0,1.79E-08,0
217,29SNC73,38.2593765,-8.154336,0,1.38E-08,0
218,29SNC74,38.3497009,-8.1500206,0,8.32E-09,0
219,29SNC75,38.4374313,-8.1494923,0,6.54E-09,0
220,29SNC76,38.5288086,-8.1508284,0,4.37E-09,0
221,29SNC77,38.6196327,-8.1481819,0,3.47E-09,0
222,29SNC78,38.7117958,-8.1478481,0,3.44E-09,0
223,29SNC79,38.7990685,-8.1452837,0,3.70E-09,0
224,29SNC80,37.9903679,-8.0411654,0,1.18E-08,0
225,29SNC81,38.0775986,-8.0404119,0,1.27E-08,0
226,29SNC82,38.1668739,-8.0390625,0,1.28E-08,0
227,29SNC83,38.258194,-8.0365276,0,1.38E-08,0
228,29SNC84,38.348362,-8.0387754,0,8.37E-09,0
229,29SNC85,38.4369202,-8.0366201,0,5.76E-09,0
230,29SNC86,38.5268898,-8.0331125,0,4.24E-09,0
231,29SNC87,38.6197166,-8.033021,0,3.49E-09,0
232,29SNC88,38.7082481,-8.0326729,0,3.06E-09,0
233,29SNC89,38.7999001,-8.0325394,0,3.48E-09,0
234,29SNC90,37.9886971,-7.927309,0,1.22E-08,0
235,29SNC91,38.0774727,-7.9264412,0,8.74E-09,0
236,29SNC92,38.1678467,-7.9225316,0,6.40E-09,0
237,29SNC93,38.2560501,-7.9220977,0,7.47E-09,0
238,29SNC94,38.3457985,-7.9214473,0,6.53E-09,0
239,29SNC95,38.4370995,-7.9215083,0,3.87E-09,0
240,29SNC96,38.5277672,-7.9183645,0,2.59E-09,0
241,29SNC97,38.6151886,-7.9154119,0,2.50E-09,0
242,29SNC98,38.7069321,-7.9177403,0,1.96E-09,0
243,29SNC99,38.7981758,-7.9143891,0,1.72E-09,0
244,29SND00,38.8995514,-8.9409294,0,4.84E-11,0
245,29SND01,38.9904327,-8.9446745,0,4.13E-11,0
246,29SND02,39.079567,-8.9475975,0,3.52E-11,0
247,29SND03,39.1708107,-8.946435,0,1.22E-11,0
248,29SND04,39.2619629,-8.9451208,0,2.81E-12,0
249,29SND05,39.3504486,-8.9462185,0,9.75E-13,0
250,29SND06,39.4421501,-8.9481344,0,4.18E-13,0
251,29SND07,39.5336876,-8.9472294,0,6.61E-14,0
252,29SND08,39.6233826,-8.9471769,0,7.88E-15,0
253,29SND09,39.7131615,-8.9483433,0,1.05E-15,0
254,29SND10,38.8994713,-8.8324671,0,2.46E-10,0
255,29SND11,38.9872093,-8.831461,0,1.47E-10,0
256,29SND12,39.079277,-8.8321352,0,1.18E-10,0
257,29SND13,39.170929,-8.832449,0,4.39E-11,0
258,29SND14,39.2605095,-8.8330097,0,1.39E-11,0
259,29SND15,39.3499489,-8.8325071,0,6.20E-12,0
260,29SND16,39.441185,-8.8311462,0,2.71E-12,0
261,29SND17,39.5335617,-8.8328571,0,5.50E-13,0
262,29SND18,39.6225853,-8.8354368,0,4.68E-14,0
263,29SND19,39.7128181,-8.8328953,0,2.57E-15,0
264,29SND20,38.898613,-8.7195892,0,7.35E-10,0
265,29SND21,38.9884529,-8.7190123,0,4.42E-10,0
266,29SND22,39.0794258,-8.7175179,0,1.94E-10,0
267,29SND23,39.1693611,-8.7168427,0,1.01E-10,0
268,29SND24,39.2592735,-8.7194433,0,3.32E-11,0
269,29SND25,39.3514557,-8.7180805,0,6.85E-12,0
270,29SND26,39.4412003,-8.7171211,0,2.37E-12,0
271,29SND27,39.5302696,-8.718214,0,1.09E-12,0
272,29SND28,39.6225777,-8.7186527,0,5.13E-14,0
273,29SND29,39.7135391,-8.7183399,0,4.47E-15,0
274,29SND30,38.8966751,-8.6051064,0,2.47E-09,0
275,29SND31,38.9898643,-8.6044979,0,1.30E-09,0
276,29SND32,39.0781822,-8.6036921,0,5.92E-10,0
277,29SND33,39.166893,-8.6039,0,2.83E-10,0
278,29SND34,39.2585678,-8.6022682,0,6.95E-11,0
279,29SND35,39.3503113,-8.6036682,0,1.11E-11,0
280,29SND36,39.4404182,-8.6042652,0,1.49E-12,0
281,29SND37,39.5297394,-8.6024313,0,7.88E-13,0
282,29SND38,39.6216393,-8.6017704,0,9.47E-14,0
283,29SND39,39.7131958,-8.6027517,0,1.08E-14,0
284,29SND40,38.8967171,-8.4889717,0,3.64E-09,0
285,29SND41,38.9876785,-8.4882135,0,3.31E-09,0
286,29SND42,39.0773888,-8.4914618,0,1.59E-09,0
287,29SND43,39.1678085,-8.4886971,0,9.28E-10,0
288,29SND44,39.2589645,-8.4875345,0,2.23E-10,0
289,29SND45,39.3484383,-8.4873285,0,3.66E-11,0
290,29SND46,39.4391441,-8.488821,0,4.30E-12,0
291,29SND47,39.5317612,-8.4884043,0,7.02E-13,0
292,29SND48,39.6204872,-8.4857998,0,1.75E-13,0
293,29SND49,39.7103081,-8.4865141,0,2.68E-14,0
294,29SND50,38.8972206,-8.3756418,0,3.06E-09,0
295,29SND51,38.984726,-8.3748274,0,3.91E-09,0
296,29SND52,39.0766945,-8.3738728,0,3.13E-09,0
297,29SND53,39.1681862,-8.3740149,0,1.74E-09,0
298,29SND54,39.2574196,-8.3734131,0,5.19E-10,0
299,29SND55,39.346096,-8.3729382,0,7.71E-11,0
300,29SND56,39.438343,-8.3716793,0,1.06E-11,0
301,29SND57,39.5296936,-8.3714056,0,2.06E-12,0
302,29SND58,39.6204453,-8.372407,0,3.49E-13,0
303,29SND59,39.710125,-8.3694754,0,4.25E-14,0
304,29SND60,38.8927994,-8.2620544,0,2.65E-09,0
305,29SND61,38.9855919,-8.2602158,0,4.24E-09,0
306,29SND62,39.0754585,-8.2581949,0,5.47E-09,0
307,29SND63,39.1666908,-8.2570095,0,2.48E-09,0
308,29SND64,39.2554169,-8.2600918,0,1.09E-09,0
309,29SND65,39.3476868,-8.2573719,0,1.67E-10,0
310,29SND66,39.4373627,-8.2542114,0,2.24E-11,0
311,29SND67,39.5276413,-8.2554712,0,3.79E-12,0
312,29SND68,39.6190338,-8.2546415,0,8.25E-13,0
313,29SND69,39.7117844,-8.2539682,0,1.97E-13,0
314,29SND70,38.8924828,-8.1457529,0,4.27E-09,0
315,29SND71,38.9836082,-8.1446619,0,5.46E-09,0
316,29SND72,39.0756149,-8.1432352,0,7.20E-09,0
317,29SND73,39.1625977,-8.1440344,0,4.85E-09,0
318,29SND74,39.2554588,-8.1405563,0,1.62E-09,0
319,29SND75,39.3458939,-8.1402607,0,4.59E-10,0
320,29SND76,39.4367027,-8.1414518,0,6.70E-11,0
321,29SND77,39.5254517,-8.1376953,0,1.12E-11,0
322,29SND78,39.6184196,-8.1367016,0,2.26E-12,0
323,29SND79,39.7090683,-8.1375694,0,7.00E-13,0
324,29SND80,38.8895416,-8.0280952,0,3.83E-09,0
325,29SND81,38.9824104,-8.0277052,0,6.93E-09,0
326,29SND82,39.0709953,-8.0308619,0,7.60E-09,0
327,29SND83,39.1637192,-8.0259542,0,5.36E-09,0
328,29SND84,39.2537193,-8.0240898,0,2.33E-09,0
329,29SND85,39.344902,-8.0239286,0,8.88E-10,0
330,29SND86,39.4341545,-8.0232286,0,2.35E-10,0
331,29SND87,39.5275612,-8.0229311,0,4.10E-11,0
332,29SND88,39.6158981,-8.0193167,0,1.21E-11,0
333,29SND89,39.7068329,-8.0192184,0,2.75E-12,0
334,29SND90,38.8900871,-7.9131684,0,3.78E-09,0
335,29SND91,38.9777832,-7.9130015,0,7.78E-09,0
336,29SND92,39.0707207,-7.9101644,0,1.11E-08,0
337,29SND93,39.1622047,-7.9099164,0,7.48E-09,0
338,29SND94,39.2528839,-7.9089842,0,2.76E-09,0
339,29SND95,39.3409767,-7.9062877,0,1.36E-09,0
340,29SND96,39.4339256,-7.9054918,0,4.68E-10,0
341,29SND97,39.5241852,-7.9041424,0,1.07E-10,0
342,29SND98,39.6153488,-7.904613,0,3.01E-11,0
343,29SND99,39.704567,-7.9013929,0,5.80E-12,0
344,29SNE00,39.8034515,-8.9487143,0,2.10E-16,0
345,29SNE01,39.8937111,-8.9352064,0,5.71E-17,0
346,29SNE02,39.9780121,-8.9137936,0,1.52E-17,0
347,29SNE10,39.8042488,-8.8317318,0,3.77E-16,0
348,29SNE11,39.8937531,-8.8342161,0,5.72E-17,0
349,29SNE12,39.9849777,-8.8354502,0,1.30E-17,0
350,29SNE20,39.8036308,-8.7179356,0,4.83E-16,0
351,29SNE21,39.8927193,-8.7177944,0,4.85E-17,0
352,29SNE22,39.9838409,-8.7178087,0,1.36E-17,0
353,29SNE30,39.8019104,-8.6040592,0,8.48E-16,0
354,29SNE31,39.8936501,-8.6013451,0,9.90E-17,0
355,29SNE32,39.9839554,-8.599535,0,2.97E-17,0
356,29SNE40,39.8026466,-8.4865465,0,3.23E-15,0
357,29SNE41,39.8935623,-8.4852362,0,5.16E-16,0
358,29SNE42,39.9836311,-8.4861116,0,1.33E-16,0
359,29SNE50,39.8021545,-8.3678589,0,1.05E-14,0
360,29SNE51,39.892437,-8.3703289,0,3.63E-15,0
361,29SNE52,39.9820366,-8.3694429,0,2.13E-15,0
362,29SNE60,39.7998886,-8.2527609,0,5.85E-14,0
363,29SNE61,39.8903198,-8.2517309,0,1.85E-14,0
364,29SNE62,39.9821053,-8.2522573,0,2.09E-14,0
365,29SNE70,39.7998276,-8.1367922,0,2.67E-13,0
366,29SNE71,39.8902931,-8.1356859,0,2.36E-13,0
367,29SNE72,39.9821358,-8.1304932,0,3.40E-13,0
368,29SNE80,39.7990875,-8.0200415,0,2.45E-12,0
369,29SNE81,39.8911438,-8.0152502,0,6.53E-12,0
370,29SNE82,39.9803467,-8.0156412,0,1.29E-11,0
371,29SNE90,39.7971191,-7.8974738,0,6.16E-12,0
372,29SNE91,39.8894272,-7.8994522,0,1.34E-11,0
373,29SNE92,39.9791603,-7.8982682,0,2.45E-11,0
374,29SPA09,36.9957695,-7.8398566,0,1.66E-07,0
375,29SPA19,37.0177994,-7.7556181,0,5.31E-07,0
376,29SPB00,37.0762138,-7.8237476,0,5.14E-07,0
377,29SPB01,37.1662712,-7.821506,0,5.03E-06,0
378,29SPB02,37.2569466,-7.8209491,0,2.60E-05,0
379,29SPB03,37.3478508,-7.8204217,0,1.20E-05,0
380,29SPB04,37.440403,-7.8196554,0,2.92E-06,0
381,29SPB05,37.5310326,-7.8161502,0,7.62E-07,0
382,29SPB06,37.6205368,-7.8158836,0,2.13E-07,0
383,29SPB07,37.7139091,-7.8158388,0,7.63E-08,0
384,29SPB08,37.8053055,-7.8122931,0,4.85E-08,0
385,29SPB09,37.8964424,-7.812191,0,2.98E-08,0
386,29SPB10,37.0803337,-7.7154346,0,1.59E-06,0
387,29SPB11,37.1647758,-7.7079086,0,5.34E-06,0
388,29SPB12,37.2541695,-7.7062912,0,1.32E-05,0
389,29SPB13,37.3464508,-7.7037144,0,6.24E-06,0
390,29SPB14,37.4388046,-7.7027841,0,1.35E-06,0
391,29SPB15,37.5286255,-7.7037568,0,3.83E-07,0
392,29SPB16,37.6199303,-7.7003493,0,1.91E-07,0
393,29SPB17,37.7109375,-7.6966767,0,9.36E-08,0
394,29SPB18,37.8035851,-7.6981153,0,5.49E-08,0
395,29SPB19,37.8928261,-7.6971822,0,3.59E-08,0
396,29SPB20,37.1041107,-7.6242266,0,2.30E-06,0
397,29SPB21,37.1637459,-7.5954261,0,2.64E-06,0
398,29SPB22,37.2545128,-7.591136,0,3.45E-06,0
399,29SPB23,37.3456154,-7.5878077,0,1.86E-06,0
400,29SPB24,37.4345856,-7.5875354,0,5.21E-07,0
401,29SPB25,37.527668,-7.5871353,0,2.00E-07,0
402,29SPB26,37.6189919,-7.5842962,0,9.40E-08,0
403,29SPB27,37.7100105,-7.5829172,0,7.65E-08,0
404,29SPB28,37.798851,-7.5808101,0,4.69E-08,0
405,29SPB29,37.892868,-7.5797539,0,2.89E-08,0
406,29SPB31,37.1787109,-7.4805694,0,1.90E-06,0
407,29SPB32,37.2538414,-7.4755239,0,1.71E-06,0
408,29SPB33,37.3423691,-7.4742956,0,1.33E-06,0
409,29SPB34,37.4338875,-7.4721174,0,5.41E-07,0
410,29SPB35,37.5251122,-7.468924,0,2.02E-07,0
411,29SPB36,37.617382,-7.4700871,0,7.53E-08,0
412,29SPB37,37.7065163,-7.4676623,0,7.15E-08,0
413,29SPB38,37.799614,-7.4656124,0,4.71E-08,0
414,29SPB39,37.8901863,-7.4618254,0,2.47E-08,0
415,29SPB41,37.179863,-7.3749485,0,2.04E-06,0
416,29SPB42,37.2488251,-7.3578558,0,1.85E-06,0
417,29SPB43,37.3423424,-7.3593502,0,1.26E-06,0
418,29SPB44,37.4330559,-7.3557563,0,4.44E-07,0
419,29SPB45,37.5241585,-7.354815,0,1.81E-07,0
420,29SPB46,37.6127052,-7.3524685,0,9.09E-08,0
421,29SPB47,37.7068214,-7.3519225,0,7.86E-08,0
422,29SPB48,37.7984047,-7.3500128,0,7.89E-08,0
423,29SPB49,37.888607,-7.3469782,0,3.43E-08,0
424,29SPB51,37.1973572,-7.2611814,0,3.46E-06,0
425,29SPB52,37.2471352,-7.2441683,0,3.31E-06,0
426,29SPB53,37.3377953,-7.2391481,0,2.32E-06,0
427,29SPB54,37.4328079,-7.2404895,0,6.83E-07,0
428,29SPB55,37.5212593,-7.2394381,0,2.98E-07,0
429,29SPB56,37.6135216,-7.2373724,0,1.31E-07,0
