"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VF19",0,0.0356783654418172,0.530224652738994,0
"VF26",0,0.179604329557948,0.869766534596585,1
"VF27",0,0.0332578394409755,0.512068973784987,0
"VF28",0,0.0598919920216786,0.660264832283964,0
"VF29",0,0.0464548140086446,0.597779105050951,0
"VF36",1,0.0990970648286158,0.770410204012876,1
"VF37",0,0.0346938096048348,0.522994396183092,0
"VF38",0,0.084542143226312,0.738029597708691,0
"VF39",0,0.0843236669870459,0.737482807790676,0
"VF46",0,0.0806571298607052,0.727995181086304,1
"VF47",0,0.0318339033757968,0.500763696765242,0
"VF48",0,0.0524481943563854,0.628052461197108,0
"VF49",0,0.0945334728248313,0.761047366944598,0
"VF56",0,0.062163097083758,0.669098836648868,1
"VF57",0,0.0339581144938022,0.517454711605429,0
"VF58",0,0.0348784775629026,0.524366311165607,0
"VF59",0,0.0149242890228477,0.316089448715897,0
"VF66",0,0.0264248574518237,0.452953759640659,0
"VF67",0,0.0118090143883425,0.267158715164876,0
"VF68",1,0.0129474632838898,0.285794686862641,1
"VF69",0,0.00503287889495684,0.133681682434507,0
"VF76",0,0.0334614986798938,0.513646843451715,0
"VF77",0,0.0175823079481332,0.353155646061496,0
"VF78",0,0.0111721561422023,0.256322884704578,0
"VF79",0,0.00318760148651879,0.0888816368622302,0
"VF86",0,0.0458490094152083,0.594465865194184,0
"VF87",0,0.029446586234312,0.480669172870742,0
"VF88",0,0.0231907028712454,0.42003897534841,0
"VF89",0,0.00459008919042473,0.123323336220947,0
"VF96",0,0.0686217071463099,0.692081796007093,0
"VF97",0,0.0335600701812178,0.514407113807905,0
"VF98",0,0.0173149429125413,0.349601295996597,0
"VF99",0,0.00643872518003514,0.165061686422422,0
"VG00",0,0.0234614417613498,0.42293672168695,0
"VG01",0,0.0471550531542588,0.601547107179875,0
"VG02",0,0.021757470299979,0.404229225322033,0
"VG03",0,0.0125210411621711,0.278921408377452,0
"VG04",0,0.00673809285165924,0.171463443403807,0
"VG05",0,0.00512578095240086,0.135825136630924,0
"VG06",0,0.00365927036571813,0.10075180676784,0
"VG07",0,0.00713104616272814,0.179724645276596,0
"VG08",0,0.00836394680158741,0.204647056040698,0
"VG09",0,0.0125181238338027,0.278873950449587,0
"VG10",0,0.0330258097014405,0.510259596494132,0
"VG11",0,0.0604675418914894,0.662543799053666,0
"VG12",0,0.0267211364163675,0.455793433863749,0
"VG13",0,0.0135553645836316,0.295379531419113,0
"VG14",0,0.0106320122266897,0.246889650097849,0
"VG15",0,0.00568713512633974,0.148562709236628,0
"VG16",0,0.00584357325809986,0.152048291040672,0
"VG17",0,0.00772559867765751,0.191927547235903,0
"VG18",0,0.00907054694232351,0.218285764407766,0
"VG19",0,0.0106713940284286,0.247585154346756,0
"VG20",0,0.0578269226201723,0.651852495400958,0
"VG21",0,0.0804965172360694,0.727565670498983,0
"VG22",0,0.038007722174507,0.546542250146713,0
"VG23",0,0.0157592604872516,0.328160693404016,0
"VG24",0,0.0172323847847199,0.348496256287444,0
"VG25",0,0.00564628818886846,0.147648061596966,0
"VG26",0,0.00461688031691326,0.123956841657481,0
"VG27",0,0.0047055139290264,0.126046412528975,0
"VG28",0,0.0138764295449444,0.300343348107469,0
"VG29",0,0.0129470598041539,0.285788242533121,0
"VG30",0,0.0768666782657593,0.717526549833321,0
"VG31",0,0.0945823066837253,0.761151077134409,0
"VG32",0,0.0506448785380191,0.619395154806295,0
"VG33",0,0.0155432456948079,0.325076852968604,0
"VG34",0,0.0171031020134039,0.346758619067838,0
"VG35",0,0.0091353526729538,0.21951421025528,0
"VG36",0,0.00366483009496955,0.100889946745048,0
"VG37",0,0.00713218143680183,0.179748283281636,0
"VG38",1,0.0220551421541389,0.407579441537548,1
"VG39",0,0.0180112383458375,0.35878134809521,0
"VG40",0,0.0919893791485048,0.755533093190792,0
"VG41",1,0.114012377909692,0.796980895795663,1
"VG42",0,0.0706652170424905,0.698762308369656,1
"VG43",0,0.0384083964787268,0.54924306704229,0
"VG44",0,0.0247005540528419,0.435857311783624,0
"VG45",0,0.0234177693491386,0.422471143366617,0
"VG46",0,0.0116777572574046,0.2649502183111,0
"VG47",0,0.00696848381350278,0.176326307705265,0
"VG48",0,0.0130114411413232,0.286815130816136,0
"VG49",0,0.0113030076463924,0.258574185860797,0
"VG50",0,0.0175130910966508,0.352239024392124,1
"VG51",0,0.0359763488654425,0.532372775863523,1
"VG52",0,0.0298134076466337,0.483854710170977,1
"VG53",0,0.0228290641360528,0.416125164459195,0
"VG54",0,0.0430392251419633,0.578416440396706,0
"VG55",0,0.0253020282425969,0.441934044077274,0
"VG56",0,0.0117755514994648,0.266596883409036,0
"VG57",0,0.003111711828069,0.086943511901757,0
"VG58",0,0.00260392512633021,0.0737678842900552,0
"VG59",0,0.00659738671526136,0.168466337251905,0
"VG60",0,0.00518640698194517,0.137218416589011,0
