"cuadrID","cUTM10","utm10","LLU_1998","LLU98_P","cat","cat_","p_lontra34","a_lontra34","LLU_2008","survey2008","LLU98_D","Llu2015","lati","long","lonUTM","latUTM","lonMoll","latMoll","newpres"
18,"29SPB52","PB52",1,0.200139436208642,1135,18257,1,0,1,1,1,1,37.2471352,-7.2441683,123486.74501105,4130805.10458625,-630175.960983721,4479434.75670346,0
19,"29SPB53","PB53",0,0.229630416502734,1136,18258,1,0,1,1,0.91675919341137,1,37.3377953,-7.2391481,124384.358100059,4140850.45206729,-629265.519143524,4489712.97359092,1
20,"29SPB54","PB54",1,0.267394924273125,1137,18259,1,0,1,1,1,1,37.4328079,-7.2404895,124740.344359099,4151404.45637917,-628884.236484588,4500479.63881023,0
21,"29SPB55","PB55",0,0.279547194966047,1138,18260,0,0,0,0,0.918731198447889,1,37.5212593,-7.2394381,125276.356179182,4161220.53614468,-628328.267140927,4510498.18947189,0
22,"29SPB56","PB56",0,0.322147840389332,1139,18261,1,0,1,1,0.871278827408641,1,37.6135216,-7.2373724,125921.763350218,4171455.73349397,-627663.203872912,4520943.63592666,1
23,"29SPB57","PB57",0,0.476449544393992,1140,18262,1,0,1,1,0.916335998832944,1,37.7044373,-7.2322712,126828.688344193,4181529.36282667,-626741.206762671,4531231.86989526,1
24,"29SPB58","PB58",1,0.615936119400321,1141,18263,1,0,1,1,1,1,37.7957039,-7.2348404,127061.415519498,4191672.65405755,-626480.990300459,4541555.04952371,0
25,"29SPB59","PB59",0,0.649242705831169,1142,18264,1,0,1,1,0.926500510573795,1,37.8847198,-7.2239227,128471.099095247,4201512.23744236,-625064.15985404,4551619.04259799,1
26,"29SPB61","PB61",0,0.211112895646026,1206,18660,0,0,0,0,0.885664006479502,0,37.1997375,-7.1240878,133914.958271122,4125071.19310562,-619973.314902948,4474059.38717167,0
27,"29SPB62","PB62",0,0.202161497689814,1207,18661,1,0,1,1,0.894900036542759,1,37.2483559,-7.1267314,133915.765451336,4130478.95178488,-619953.760164181,4479573.17943551,1
28,"29SPB63","PB63",0,0.1855609482715,1208,18662,1,0,1,1,0.919146026204373,1,37.3389511,-7.1250973,134500.307021226,4140530.37516527,-619345.660744407,4489843.97763387,1
29,"29SPB64","PB64",1,0.208605342841703,1209,18663,1,0,1,1,1,1,37.4268417,-7.1214461,135250.851926438,4150273.77787209,-618575.321636778,4499803.71003891,0
30,"29SPB65","PB65",0,0.289803780346184,1210,18664,1,0,1,1,0.913399033397155,1,37.5216293,-7.1235862,135522.955470486,4160805.41986122,-618271.286759222,4510540.08859761,1
31,"29SPB66","PB66",0,0.369379673885943,1211,18665,1,0,1,1,0.917610756023236,1,37.6138306,-7.119411,136341.654895548,4171025.49138338,-617431.364991918,4520978.61109743,1
32,"29SPB67","PB67",1,0.493843274789049,1212,18666,2,0,1,1,1,1,37.7036171,-7.1196017,136763.462129369,4180994.48943712,-616981.64813249,4531139.07528736,0
33,"29SPB68","PB68",0,0.605009873470304,1213,18667,0,0,0,0,0.917498984371246,1,37.793438,-7.1153927,137574.003095551,4190950.28104439,-616149.552190868,4541298.81108746,0
34,"29SPB69","PB69",1,0.664665753727438,1214,18668,0,0,0,0,1,1,37.8855934,-7.1145287,138101.633517343,4201178.31946011,-615594.065791778,4551717.78779878,NA
35,"29SPB71","PB71",0,0.249014600519921,1278,19042,0,0,0,0,0.919606801539849,0,37.1879692,-6.9766059,146957.4518675,4123204.04281619,-607197.807631459,4472724.54863914,0
36,"29SPB72","PB72",0,0.207873040741912,1279,19043,0,0,0,0,0.886552352326352,1,37.2491455,-7.013782,143943.750954601,4130134.85175557,-610124.308942833,4479662.7166205,0
37,"29SPB73","PB73",0,0.187383033556284,1280,19044,1,0,1,1,0.874470883180539,1,37.3364944,-7.0098953,144700.551141317,4139817.19491863,-609344.228891902,4489565.52229654,1
38,"29SPB74","PB74",0,0.234031594110622,1281,19045,0,1,0,1,0.899342348399873,0,37.4263878,-7.0095234,145158.205404512,4149795.33169709,-608855.918913148,4499752.28551262,0
39,"29SPB75","PB75",0,0.334294720231274,1282,19046,1,0,1,1,0.875666516648991,1,37.5172157,-7.0026774,146193.587434847,4159852.87273681,-607799.80743787,4510040.28356403,1
40,"29SPB76","PB76",0,0.453932382511937,1283,19047,1,0,1,1,0.871310330214005,1,37.610836,-7.0046844,146459.714491462,4170253.86888532,-607496.97304713,4520639.65525173,1
41,"29SPB77","PB77",0,0.572806933099206,1284,19048,1,0,1,1,0.916231403588366,1,37.7020264,-7.0024734,147087.747664863,4180369.27416739,-606839.49425285,4530959.10786013,1
42,"29SPB78","PB78",1,0.70631198887772,1285,19049,1,0,1,1,1,1,37.7934418,-7.0009961,147652.626369332,4190512.50108306,-606243.485803288,4541299.24081148,0
43,"29SPB79","PB79",0,0.775510512340776,1286,19050,1,0,1,1,0.916120523305459,1,37.8848534,-6.9957952,148545.707272147,4200641.31960077,-605324.291879829,4551634.14376981,1
44,"29SPB81","PB81",1,0.226284119267493,1350,19402,1,0,1,1,1,1,37.1739502,-6.890316,154557.526782062,4121329.28107556,-599757.205389019,4471134.31884153,0
45,"29SPB82","PB82",1,0.220703062545719,1351,19403,1,0,1,1,1,1,37.2436218,-6.8859363,155264.28458444,4129047.48722911,-599030.513914276,4479036.34582151,0
46,"29SPB83","PB83",0,0.219233763825411,1352,19404,1,0,1,1,0.916012996575422,1,37.3349876,-6.893786,154985.863572295,4139218.69476649,-599258.784797675,4489394.73194397,1
47,"29SPB84","PB84",1,0.263057852715672,1353,19405,1,0,1,1,1,1,37.4266739,-6.8933039,155449.139488742,4149395.1323666,-598759.519613613,4499784.69917898,0
48,"29SPB85","PB85",0,0.394594378908873,1354,19406,2,0,1,1,0.916737435163379,1,37.517498,-6.8936796,155833.375663086,4159479.08183874,-598337.891921927,4510072.25212197,1
49,"29SPB86","PB86",0,0.510873865282289,1355,19407,1,0,1,1,0.900810009398859,1,37.6054153,-6.8900332,156560.394564817,4169225.67601088,-597580.793036303,4520026.07848892,1
50,"29SPB87","PB87",0,0.648145142400099,1356,19408,1,0,1,1,0.913883907849108,1,37.6997986,-6.888597,157122.318961812,4179698.2596869,-596982.088533483,4530707.0582528,1
51,"29SPB88","PB88",1,0.776542391741981,1357,19409,1,0,1,1,1,1,37.7939606,-6.8849945,157874.674030955,4190138.41544559,-596195.840724531,4541357.90937058,0
52,"29SPB89","PB89",0,0.789122798726203,1358,19410,1,0,1,1,0.918608909622455,1,37.8825302,-6.8874106,158071.693514288,4199979.88746041,-595957.856508448,4551371.54468228,1
53,"29SPB90","PB90",0,0.205708151451147,1422,19739,0,0,0,0,0.923141414232502,0,37.1043472,-6.744565,167199.358007689,4113081.09675227,-587407.895744209,4463237.33928884,0
54,"29SPB91","PB91",0,0.199281520798228,1423,19740,1,0,1,1,0.903245212898019,1,37.1592369,-6.780777,164222.778765223,4119301.84618863,-590294.302710188,4469465.2127031,1
55,"29SPB92","PB92",0,0.176070561091609,1424,19741,1,0,1,1,0.909216835763485,1,37.2391777,-6.7861876,164097.114584756,4128194.92026108,-590374.77972936,4478532.38586717,1
56,"29SPB93","PB93",0,0.220360599051458,1425,19742,1,0,1,1,0.916167702980612,1,37.3311691,-6.7826481,164820.253356036,4138393.97401878,-589616.574324732,4488961.91296228,1
57,"29SPB94","PB94",1,0.307331898029104,1426,19743,1,0,1,1,1,1,37.4226532,-6.7807775,165393.47003594,4148542.72620354,-589005.11358765,4499329.17017263,0
58,"29SPB95","PB95",0,0.423717404552723,1427,19744,1,0,1,1,0.916104248235361,1,37.5142288,-6.7800088,165870.106532241,4158705.63694441,-588487.92032966,4509702.03464111,1
59,"29SPB96","PB96",1,0.553484689036221,1428,19745,1,0,1,1,1,1,37.6062546,-6.7799244,166289.009619447,4168921.04649852,-588026.781288561,4520121.08115104,0
60,"29SPB97","PB97",0,0.717272977061103,1429,19746,1,0,1,1,0.916946757234297,1,37.6965103,-6.7723155,167364.558064128,4178913.25903048,-586921.120202871,4530335.0202343,1
61,"29SPB98","PB98",0,0.818213525376412,1430,19747,1,0,1,1,0.900293905171234,1,37.7883034,-6.7743907,167592.999416075,4189110.68279068,-586646.327490033,4540718.1558935,1
62,"29SPB99","PB99",0,0.786262034666087,1431,19748,1,0,1,1,0.897657203252343,0,37.8827515,-6.7706819,168343.619468692,4199582.34002164,-585856.388074904,4551396.55909744,1
63,"29SPC45","PC45",0,0.53806041266197,1076,17845,0,0,0,0,0.941994013480234,1,38.4431839,-7.2949781,125095.918632311,4263805.80141077,-628198.209589407,4614653.46094474,0
64,"29SPC46","PC46",1,0.547180959946879,1077,17846,0,0,0,0,1,1,38.5047607,-7.2946148,125447.092447927,4270641.49704178,-627831.704440812,4621592.57294708,NA
65,"29SPC50","PC50",1,0.673365262534374,1143,18265,1,0,1,1,1,1,37.9629822,-7.2109504,130005.845473445,4210149.81461557,-623526.982351509,4560463.49242152,0
67,"29SPC54","PC54",0,0.520462794481212,1147,18269,0,0,0,0,0.914377283347659,0,38.3463936,-7.2016549,132755.020994982,4252682.66964237,-620680.852621633,4603741.6401329,0
68,"29SPC55","PC55",0,0.52070881558819,1148,18270,1,0,1,1,0.902969748884028,1,38.4253998,-7.2221661,131363.630930378,4261536.81921903,-622023.840255074,4612648.95081178,1
69,"29SPC56","PC56",0,0.532012302970511,1149,18271,1,0,1,1,0.92900137013122,1,38.5144043,-7.218801,132111.064229912,4271405.72603037,-621254.569743753,4622679.11237379,1
70,"29SPC57","PC57",0,0.533909535276654,1150,18272,2,0,1,1,0.882904301321178,1,38.607193,-7.2103701,133319.339448972,4281674.58069259,-620028.490828073,4633130.77613397,1
71,"29SPC58","PC58",0,0.43868369641803,1151,18273,1,0,1,1,0.935694524587527,0,38.6936417,-7.2065325,134094.630764769,4291257.94371747,-619231.265023418,4642863.74744546,1
72,"29SPC59","PC59",1,0.391520479359346,1152,18274,0,0,0,0,1,1,38.7561417,-7.1779518,136898.823122736,4298083.56557295,-616438.281313958,4649897.66904376,NA
73,"29SPC60","PC60",1,0.679422747905219,1215,18669,1,0,1,1,1,1,37.9742088,-7.1095834,138971.311687584,4210997.53919184,-614703.103587154,4561731.92295759,0
74,"29SPC62","PC62",0,0.663451444261392,1217,18671,0,0,0,0,0.942027008532857,1,38.1913719,-7.0743799,143124.547721596,4234971.7040637,-610525.320597546,4586253.61144902,0
75,"29SPC63","PC63",1,0.608715844124061,1218,18672,1,0,1,1,1,1,38.2511978,-7.0888062,142154.212148847,4241669.70599469,-611456.050801228,4593004.24180773,0
76,"29SPC64","PC64",1,0.561506102355296,1219,18673,1,0,1,1,1,1,38.3337364,-7.1088738,140805.168723544,4250911.69430786,-612751.333279978,4602314.30413765,0
77,"29SPC65","PC65",1,0.50307369193886,1220,18674,0,0,0,0,1,1,38.4231339,-7.1037283,141697.294642908,4260817.2757388,-611835.138245957,4612393.5397426,NA
78,"29SPC66","PC66",0,0.492036043221811,1221,18675,1,0,1,1,0.915533472008019,1,38.5153656,-7.1014695,142351.402541553,4271048.84716129,-611151.846309528,4622787.41855683,1
79,"29SPC67","PC67",0,0.484503150319992,1222,18676,0,1,0,1,0.852526980704773,0,38.6022263,-7.0990005,142997.580469825,4280683.32958083,-610478.092759864,4632571.45822413,0
80,"29SPC68","PC68",0,0.453909829844534,1223,18677,1,0,1,1,0.909743091843769,1,38.6940804,-7.1005483,143319.354291299,4290887.95343591,-610122.087187235,4642913.12798381,1
81,"29SPC69","PC69",0,0.345529042018988,1224,18678,0,0,0,0,0.913366789337524,1,38.7793961,-7.0859962,145009.055529082,4300303.96764718,-608417.205614098,4652514.19399466,0
82,"29SPC70","PC70",0,0.746220778638082,1287,19051,1,0,1,1,0.899090289459602,1,37.9735146,-6.9973502,148831.695456975,4210490.37143974,-605002.8613039,4561653.4913062,1
83,"29SPC71","PC71",0,0.692400198963493,1288,19052,0,0,0,0,0.925086471426633,0,38.0609055,-6.9608216,152455.746035523,4220055.09245105,-601396.325636338,4571524.84321466,0
