idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
1224,29TNH30,42.497509,-8.5911512,0,0,4.86E-29
1225,29TNH31,42.5877647,-8.5900764,0,0,2.19E-29
1226,29TNH32,42.6793861,-8.5908976,0,0,1.76E-30
1227,29TNH33,42.7685966,-8.5903654,0,0,1.03E-31
1228,29TNH34,42.859642,-8.5894337,0,0,5.00E-32
1229,29TNH35,42.9496307,-8.5864325,0,0,3.49E-32
1230,29TNH36,43.0408134,-8.5867147,0,0,2.68E-33
1231,29TNH37,43.1260338,-8.5886736,0,0,1.09E-34
1232,29TNH38,43.2113571,-8.5853634,0,0,4.44E-36
1233,29TNH39,43.283226,-8.5820656,0,0,2.77E-37
1234,29TNH40,42.4992371,-8.4704485,0,0,9.49E-27
1235,29TNH41,42.5877647,-8.467947,0,0,3.26E-27
1236,29TNH42,42.6768837,-8.4663162,0,0,5.47E-28
1237,29TNH43,42.7681541,-8.468051,0,0,3.59E-29
1238,29TNH44,42.8590775,-8.4658031,0,0,2.45E-30
1239,29TNH45,42.9503784,-8.4640331,0,0,3.43E-31
1240,29TNH46,43.0369835,-8.4627542,0,0,2.37E-32
1241,29TNH47,43.1243706,-8.4631214,0,0,1.08E-33
1242,29TNH48,43.2112961,-8.4628897,0,0,7.06E-35
1243,29TNH49,43.2977867,-8.4572811,0,0,3.03E-36
1244,29TNH50,42.4972115,-8.346962,0,0,1.32E-24
1245,29TNH51,42.5876122,-8.3463926,0,0,2.72E-25
1246,29TNH52,42.6757431,-8.3450003,0,0,7.79E-26
1247,29TNH53,42.7670021,-8.3413887,0,0,3.09E-27
1248,29TNH54,42.8583794,-8.3422356,0,0,4.53E-29
1249,29TNH55,42.9480782,-8.3418407,0,0,2.45E-30
1250,29TNH56,43.0360222,-8.3396063,0,0,1.09E-31
1251,29TNH57,43.1225319,-8.3378983,0,0,6.35E-33
1252,29TNH58,43.2111206,-8.3352547,0,0,3.68E-34
1253,29TNH59,43.2938309,-8.3350821,0,0,3.21E-35
1254,29TNH60,42.4963112,-8.2235985,0,0,5.42E-23
